Step;BeatGAN+ - latent/z_mean_max;BeatGAN - latent/z_mean_max;VAEGAN+ - latent/z_mean_max;VAEGAN - latent/z_mean_max
10;23.104755401611328;36.53439712524414;5.353219985961914;14.567500114440918
20;26.04390525817871;33.247901916503906;5.0795769691467285;13.639981269836426
30;28.9162654876709;33.9898567199707;4.927384853363037;12.876503944396973
40;30.488983154296875;36.117027282714844;4.5253753662109375;12.613556861877441
50;32.59396743774414;35.43791198730469;4.678012371063232;12.711670875549316
60;34.429115295410156;38.43027114868164;4.358824253082275;12.789936065673828
70;34.678810119628906;39.62451934814453;4.374053955078125;11.509589195251465
80;36.59526062011719;40.879005432128906;4.351253986358643;12.045997619628906
90;38.3837890625;39.64905548095703;4.316989898681641;12.310437202453613
100;38.653343200683594;40.69097900390625;4.312591552734375;11.4071626663208
110;40.96214294433594;42.27042770385742;4.288305282592773;11.461071014404297
120;41.0352668762207;41.08256530761719;4.354086399078369;11.11987018585205
130;41.61619186401367;41.73716735839844;4.253334999084473;11.036632537841797
140;42.05598068237305;41.80537414550781;4.239830017089844;11.183038711547852
150;43.71503829956055;44.03063201904297;4.213221073150635;11.112478256225586
160;45.4322395324707;45.2241325378418;4.3209228515625;11.439350128173828
170;44.97809600830078;43.416236877441406;4.361923694610596;10.951813697814941
180;45.20347213745117;46.73943328857422;4.344563007354736;11.253363609313965
190;45.84196472167969;42.821197509765625;4.2242021560668945;10.791646003723145
200;47.2257080078125;46.884117126464844;4.21818208694458;10.396156311035156
210;48.596412658691406;48.3323974609375;4.29017448425293;11.086140632629395
220;47.910499572753906;45.82427215576172;4.123805522918701;10.80571460723877
230;49.96385955810547;44.51384735107422;4.135765552520752;11.038284301757812
240;48.709068298339844;47.244483947753906;4.173816204071045;11.124519348144531
250;48.76054763793945;45.32101058959961;4.18089485168457;10.870908737182617
260;50.661964416503906;45.67127990722656;4.28062629699707;10.620712280273438
270;50.10655975341797;49.54219055175781;4.2560577392578125;11.051214218139648
280;51.05528259277344;45.66071319580078;4.091325283050537;10.795853614807129
290;53.57935333251953;46.747467041015625;4.1462321281433105;10.645442008972168
300;52.170188903808594;48.31570816040039;4.171391010284424;10.661325454711914
310;52.34455871582031;48.73925018310547;4.145436763763428;10.660989761352539
320;53.3082275390625;47.87470245361328;4.1106343269348145;10.618972778320312
330;53.381309509277344;47.296199798583984;4.102986812591553;10.800931930541992
340;53.286537170410156;49.75347137451172;4.0781168937683105;10.788641929626465
350;53.00641632080078;48.504180908203125;4.161188125610352;10.960082054138184
360;55.59160614013672;47.92710494995117;4.15857458114624;10.633015632629395
370;56.06429672241211;49.59755325317383;4.094305515289307;10.827305793762207
380;55.39851379394531;48.45581817626953;4.206033706665039;10.75834846496582
390;56.1009635925293;50.83195877075195;4.17869758605957;10.83316421508789
400;56.379791259765625;46.72298049926758;4.126032829284668;11.258857727050781
410;57.184043884277344;50.950355529785156;4.075685024261475;10.816339492797852
420;60.306556701660156;51.24127960205078;4.202003479003906;10.891366958618164
430;57.17364501953125;50.00274658203125;4.242691993713379;10.588640213012695
440;57.65778350830078;51.29930114746094;4.025506019592285;11.002717971801758
450;59.54133224487305;49.29998779296875;4.196329593658447;10.660676956176758
460;58.9708251953125;48.367393493652344;4.172310829162598;10.70029354095459
470;59.1066780090332;50.11505126953125;4.037611484527588;10.810554504394531
480;59.35051727294922;50.09796905517578;4.070003509521484;10.611159324645996
490;61.062530517578125;48.91069793701172;3.982959032058716;10.930850982666016
500;59.84877014160156;49.791412353515625;4.169918060302734;10.74492359161377
510;61.334434509277344;50.77239227294922;4.098479747772217;10.650164604187012
