Step;beatgan-6ls-256b-spectral - only_disc_error;beatgan-6ls-256b - only_disc_error
20;0.8486787783150187;0.8109790704347523
40;0.8744835488709489;0.8258087300803848
60;0.8856837147176525;0.8396733832291219
80;0.8888153698213337;0.8218676380262665
100;0.8903400619174501;0.8231847658160933
120;0.8919474640272725;0.8352045558952016
140;0.8921376602823963;0.8500735753479388
160;0.8901602275226308;0.8372096145560087
180;0.889907548018163;0.8233576948223059
200;0.8880721533513639;0.8379059843741293
220;0.890970203803711;0.8229555324318036
240;0.8906230678051302;0.8273215484693653
260;0.8891426733150976;0.8282569225458554
280;0.8889604699289912;0.8174128088762013
300;0.8876842710995579;0.8399502467834308
320;0.8865839736438489;0.81402507640211
340;0.8875063674543385;0.8382519350944287
360;0.887087932403725;0.8229824379506112
380;0.8874879235722681;0.8142344958548239
400;0.8889423451452462;0.8189496256607266
420;0.8895338406652034;0.8098555592964182
440;0.8882266213142692;0.8308745413359266
460;0.8873408689047055;0.8087049793351018
480;0.8854017394855359;0.8235364483061561
500;0.8888270504926407;0.8224498585529458
