Step;beatgan-6ls-256b-spectral - svm/minmax_fscore;beatgan-6ls-256b - svm/minmax_fscore
20;0.8760190032620848;0.849357524389629
40;0.8848120216637525;0.8594669796952233
60;0.891584747390066;0.8673995567613894
80;0.8957663505583165;0.8698609549436189
100;0.8958070067119053;0.8710394255440563
120;0.8987694906063675;0.8760414266615353
140;0.9003203951304991;0.8787577227616875
160;0.89762521858776;0.8792143487467715
180;0.8997520603179083;0.8804032468679205
200;0.9019913976892392;0.8816488934836949
220;0.9023846954457394;0.8827086763926293
240;0.9038170884801968;0.8828977209334469
260;0.9036198888006334;0.8822960178214606
280;0.9060985816762006;0.8848452673708148
300;0.9056538435051165;0.8875142457136685
320;0.9076368927298104;0.8872143241641627
340;0.9074013515967213;0.8867940707494018
360;0.9080268159908231;0.885142738250367
380;0.9079949007966496;0.8861227423235807
400;0.9084651924236303;0.8861824422625716
420;0.9093999922835307;0.8884860699425917
440;0.9103500413071964;0.8863839556862035
460;0.9106103862995346;0.8846326876007585
480;0.9112163240696787;0.8851092547764777
500;0.9110245736478861;0.8859912656239721
